# name                                                        ; long        ; lat
Kum & Go, 700 E. Victory Way, Craig, CO 81625                 ; -107.5387858; 40.5141455
Welcome Center, 101 Stegosaurus Fwy, Dinosaur, CO 81610       ; -109.0090134; 40.2451822
City Parking, 250 W 8th St, Durango, CO 81301                 ; -107.8832834; 37.2722863
Purgatory Ski Resort, 1 Skier Pl, Durango, CO 81301           ; -107.8376089; 37.6276772
Kum & Go, 308 W. Agate Avenue, Granby, CO 80446               ; -105.9467215; 40.0859665
202 E Tomichi Ave, Gunnison, CO 81230                         ; -106.9251865; 38.544209
City Parking Lot, 533 N. 1st Street, Montrose, CO 81401       ; -107.8765667; 38.4814181
1230 Main Street, Ouray, CO 81427                             ; -107.6734612; 38.0295384
Centennial Park, San Juan River Walk, Pagosa Springs, CO 81147; -107.0117529; 37.2656993
Kum & Go, 705 Taugenbaugh Blvd, Rifle, CO 81650               ; -107.7776533; 39.5219584
Kum & Go, 80 Anglers Drive, Steamboat Springs, CO 80477       ; -106.827535 ; 40.4680716
Lionshead Parking, 395 S Frontage Rd W, Vail, CO 81657        ; -106.3859365; 39.6446934
122 Lincoln St, Burlington, CO 80807                          ; -102.2781921; 39.3007288
Village Inn, 5 Walmart Way, La Junta, CO 81050                ; -103.5928629; 38.0006088
Welcome Center, 109 E Beech St, Lamar, CO 81052               ; -102.6183779; 38.0893876
250 E Main St, Limon, CO 80828                                ; -103.6716443; 39.2644679
130 N 4th St, Sterling, CO 80751                              ; -103.2089152; 40.6252251
7-Eleven, 14490 E Colfax Ave, Aurora, CO 80011                ; -104.8198974; 39.7407198
1500 Pearl St., Boulder, CO                                   ; -105.2750432; 40.0185058
7-Eleven, 15200 E 120th Ave., Brighton, CO 80603              ; -104.8097911; 39.9140426
Kum & Go, 127 Laura Way, Dacono, CO 80514                     ; -104.9746877; 40.0869148
Visitor Center, 500 Big Thompson Ave, Estes Park, CO 80517    ; -105.5137418; 40.3789881
Town Hall, 901 9th St, Fairplay, CO 80440                     ; -105.9971628; 39.2215393
1120 Argentine St., Georgetown, CO, 80444                     ; -105.6956901; 39.7118444
Village Inn, 4318 Centerplace Dr, Greeley, CO 80631           ; -104.7490038; 40.3925981
7-Eleven, 3522 N Elizabeth St, Pueblo, CO, 81008              ; -104.6145885; 38.3065697
Target, 5071 Kipling Street, Wheat Ridge, CO 80033            ; -105.112598 ; 39.7873224
Visitor Center, 610 State Ave, Alamosa, CO 81101              ; -105.8647139; 37.4668048
Two Rivers Development, 1 Old Stage Rd., Salida, CO, 81201    ; -105.98282  ; 38.5237861
403 Royal Gorge Blvd, Canon City, CO 81212                    ; -105.2408838; 38.4397567
Co Rd 24, Limon, CO 80828, Ã‰tats-Unis                         ; -103.6216081; 39.2964188
27181 Main Street, Conifer, CO, 80433                         ; -105.3053993; 39.5274182